Company,Logo,Name,Status,Portfolio Type,Sector,Short Description,Long Description,Website,Investment Stage,Invest Date,Publish Card,Publish Page,Featured
prediction-media,,Prediction Media,Active,Invested,Media,"PredictionNews.com serves the growing demand for prediction market analysis, data insights, and comprehensive industry reporting.",,https://predictionnews.com,,,checked,,
access-global-media,,Access Global Media,Active,Invested,Media,"Hyper-local network of news websites across Pennsylvania and the Jersey Shore, including Fideri News.",,https://accessgmt.com,,,checked,,
capemedia.io,,CapeMedia.io,Active,Invested,Media,Leading sports and gaming performance marketing agency.,,https://capemedia.io,,,checked,,
culture-health,,Culture Health,Active,Invested,Technology,"A culture operating system built around one loop: Measure, Understand, Act, Re-measure.",,https://getculturehealth.com,,,checked,,
charlotte-checkers,,Charlotte Checkers,Active,Invested,Sports,"Professional hockey team in the American Hockey League, managed by Zawyer Sports.",,https://charlottecheckers.com,,,checked,,
greensboro-gargoyles,,Greensboro Gargoyles,Active,Invested,Sports,"Professional hockey team in the ECHL, managed by Zawyer Sports.",,https://gargoyleshockey.com,,,checked,,
gastonia-baseball-club,,Gastonia Baseball Club,Active,Invested,Sports,"Professional baseball team in the Atlantic League, managed by Zawyer Sports.",,https://ghostpeppersbaseball.com,,,checked,,
savannah-ice-cove-&-amphitheatre,,Savannah Ice Cove & Amphitheatre,Active,Invested,Entertainment,Live event space with music venue and two sheets of ice for the Savannah community.,,,,,checked,,
liqure,,LiQure,Active,Invested,CPG,“Gummies for Drinking”: a DHM-based gummy supplement designed to support your body while you drink so you can feel better the next day.,,https://liqure.com,Seed,2026-01-30,checked,,
augusta-hockey-club,,Augusta Hockey Club,Active,Launching Soon,Sports,"ECHL franchise launching in Augusta, Georgia.",,https://www.augustaprohockey.com,,,checked,,
mobile-hockey-club,,Mobile Hockey Club,Active,Launching Soon,Sports,Franchise team in the SPHL.,,https://www.mobileprohockey.com,,,checked,,
upshot-league,,UpShot League,Active,Launching Soon,Sports,"Professional women's basketball league. Inaugural teams in Jacksonville, Charlotte, Savannah, and Greensboro. Baltimore joining 2027.",,https://upshotleague.com,,,checked,,
